w1000,w100,w10,w3,w1,w01,w001,w0001
-10.61915102,-2.660264508,-1.167953345,-0.822348101,-0.633765635,-0.694703041,-0.68251573,-0.747341562
-10.84926553,-2.924592441,-1.080117955,-0.880957597,-0.615684188,-0.621573638,-0.672701328,-0.635609423
-10.84431147,-3.334268026,-1.096959754,-0.811968167,-0.74075446,-0.606977125,-0.729037529,-0.572294104
-10.04230315,-2.729736514,-0.951697378,-0.948534503,-0.7615886,-0.760826721,-0.813678565,-0.59273869
-10.32187281,-2.414336717,-0.974687248,-0.811896569,-0.741843693,-0.746112906,-0.565927926,-0.57329678
-10.42227721,-2.955859833,-1.07081577,-0.853581303,-0.730097384,-0.726665966,-0.653429115,-0.554350872
-10.5526156,-2.708951026,-0.984995415,-0.755700867,-0.685871663,-0.655034226,-0.482957384,-0.629523294
-10.58716,-2.989616949,-0.817353317,-0.874693233,-0.761327915,-0.793667138,-0.617261375,-0.638122626
-10.12588558,-2.767356326,-0.908535327,-0.749505551,-0.795163144,-0.692664506,-0.640214531,-0.59914786
-10.23863229,-2.977770299,-0.952925395,-0.794156275,-0.774629397,-0.658770126,-0.59505461,-0.557157946
-10.38947855,-2.850790783,-1.06528463,-0.768314709,-0.734139058,-0.692685304,-0.538991821,-0.473958125
-10.2469458,-3.03973836,-0.877033949,-0.814582691,-0.739214335,-0.722490606,-0.602807434,-0.629856052
-10.423407,-2.866031494,-1.069801922,-0.796411694,-0.846523251,-0.644554175,-0.609350081,-0.642501347
-10.72927657,-2.783140534,-1.056678475,-0.736191375,-0.693434561,-0.673848123,-0.596016708,-0.839355901
-10.53463166,-2.750724368,-1.024194602,-0.748156003,-0.757770636,-0.765118832,-0.646303751,-0.651935948
-10.48901819,-2.88677957,-1.070388896,-0.99454964,-0.785007618,-0.708733505,-0.808484969,-0.809612823
-10.48194587,-3.17152608,-1.142491567,-0.898474637,-0.75889469,-0.565119803,-0.676735844,-0.668276641
-10.54798871,-2.898956176,-1.09780836,-0.838646881,-0.807922668,-0.773294517,-0.544831635,-0.546012334
-10.63160294,-2.419656765,-0.87685269,-0.875601143,-0.820481396,-0.769349123,-0.630900733,-0.712096888
-10.37215124,-2.781367025,-0.994901536,-0.866525138,-0.774197771,-0.659260886,-0.635120553,-0.601434091
-9.821524391,-2.86378421,-0.951549185,-0.795718192,-0.610478477,-0.63753364,-0.608276891,-0.606507396
-10.74463371,-2.948327509,-1.012720968,-0.670855296,-0.820126657,-0.616976451,-0.8316285,-0.618932732
-10.66608468,-2.931495589,-1.208836166,-0.783475105,-0.823068046,-0.592445044,-0.448290433,-0.689037352
-10.38928043,-2.677269319,-0.97409264,-0.753217676,-0.687960354,-0.606080753,-0.652695961,-0.430206153
-10.67048558,-2.835798356,-1.088443884,-0.839442957,-0.853033044,-0.610283346,-0.546885912,-0.502958901
-10.42351311,-2.702668199,-1.023921093,-0.895729508,-0.721008305,-0.634498322,-0.705650038,-0.664354663
-10.45607969,-3.092219043,-1.022454468,-0.891436451,-0.770674088,-0.592114,-0.646060839,-0.577594068
-10.41660504,-2.918559458,-0.930253765,-0.8592806,-0.860297679,-0.648255477,-0.73147371,-0.798792562
-10.3210956,-2.44001685,-1.070758143,-0.918829984,-0.708157112,-0.610845847,-0.556299836,-0.695089202
-10.60869597,-2.741331282,-0.974306325,-0.899592248,-0.860256218,-0.88962086,-0.485683722,-0.658463657
-10.88751773,-2.941247402,-1.001231424,-0.871608076,-0.845847214,-0.771757236,-0.623788965,-0.643045789
-10.61924896,-2.588578151,-1.073800602,-0.839473526,-0.712846128,-0.58401773,-0.580093877,-0.764785245
-10.74139821,-3.208800825,-0.919965692,-0.79951555,-0.73793418,-0.658512882,-0.593693728,-0.620888609
-10.29972064,-2.841202802,-1.032636615,-0.802988546,-0.793792156,-0.754991272,-0.681729448,-0.566400351
-10.75323804,-2.984050607,-0.957293569,-0.762661086,-0.713756423,-0.656703756,-0.538068379,-0.696209681
-10.20005843,-2.598273869,-0.979564221,-0.733884539,-0.769879697,-0.63073144,-0.517366327,-0.660906554
-10.62250906,-2.653568861,-1.029423352,-0.872121723,-0.752510841,-0.701683868,-0.722459944,-0.533112294
-10.43159895,-2.275915764,-1.101462041,-0.90916149,-0.7915477,-0.622744051,-0.652678606,-0.680247383
-10.29390203,-2.238383806,-1.111457726,-0.799372302,-0.816028473,-0.722960828,-0.755694014,-0.534476814
-10.21207468,-2.742947887,-1.096860136,-0.904858152,-0.799475247,-0.559472318,-0.592991731,-0.754731936
-10.5720857,-3.379344949,-1.058220281,-0.898490814,-0.772120838,-0.636992147,-0.63736268,-0.642179105
-10.81419869,-2.725308839,-1.095265839,-0.770655158,-0.702909327,-0.651256515,-0.711378788,-0.571590699
-10.63218961,-2.639187359,-0.870343457,-0.856232533,-0.680620915,-0.666691902,-0.639097644,-0.614950445
-10.41491412,-3.12834062,-1.05723843,-0.782686312,-0.768653156,-0.668097505,-0.539498055,-0.49365959
-10.65404843,-2.960571518,-1.05083261,-0.842992699,-0.86267522,-0.628792091,-0.578346376,-0.641648012
-10.85137245,-3.10622361,-1.109110757,-0.946199385,-0.776758572,-0.666454579,-0.571383992,-0.64897554
-10.62501375,-3.10903751,-1.025983092,-0.820444491,-0.6854591,-0.726509346,-0.637640487,-0.639592668
-10.43315714,-2.87918111,-1.077668173,-0.880913854,-0.677761973,-0.602687424,-0.555847423,-0.802561053
-10.14197006,-3.203355905,-1.003399601,-0.888347168,-0.768773722,-0.584411925,-0.546120394,-0.663784411
-10.5381976,-2.767952894,-1.001973057,-0.800016169,-0.753252616,-0.638194164,-0.613237276,-0.502746097
-10.46026803,-2.797836885,-1.072259367,-0.96165147,-0.745809393,-0.667843152,-0.611220844,-0.7212194
-10.37168477,-2.866657934,-1.123184915,-0.719930883,-0.8218689,-0.793584439,-0.650502294,-0.55599586
-10.3927533,-2.664533404,-0.973630733,-0.750915594,-0.727721012,-0.59213647,-0.582665493,-0.635598511
-10.59884864,-2.896132772,-0.859155819,-0.860940637,-0.853695767,-0.731056647,-0.668901096,-0.717196777
-10.37277287,-2.91492602,-0.997910599,-0.882522992,-0.844339779,-0.687402831,-0.577448055,-0.723389079
-10.31950318,-2.969731866,-1.003862061,-0.880013712,-0.710411537,-0.572796234,-0.582336781,-0.519482538
