,Beals,Brooks,Jungck,Jukes,Dayhoff
Ala,0.074,0.0777,0.084724799,0.086885246,0.086
Arg,0.042,0.0627,0.04724799,0.042622951,0.049
Asn,0.044,0.0336,0.049103278,0.049180328,0.043
Asp,0.059,0.0542,0.049474335,0.059016393,0.055
Cys,0.033,0.0078,0.029808287,0.021311475,0.029
Gln,0.037,0.0315,0.038713667,0.039344262,0.039
Glu,0.058,0.0859,0.052813853,0.054098361,0.06
Gly,0.074,0.073,0.087445887,0.078688525,0.084
His,0.029,0.0192,0.019171305,0.02295082,0.02
Ile,0.038,0.0666,0.04873222,0.050819672,0.045
Leu,0.076,0.0891,0.071861472,0.07704918,0.074
Lys,0.072,0.0776,0.071119357,0.067213115,0.066
Met,0.018,0.0241,0.016326531,0.018032787,0.017
Phe,0.04,0.0361,0.037476809,0.037704918,0.036
Pro,0.05,0.0435,0.045269017,0.040983607,0.052
Ser,0.081,0.0466,0.073345702,0.073770492,0.07
Thr,0.062,0.0487,0.060606061,0.060655738,0.061
Trp,0.013,0.0102,0.012244898,0.013114754,0.013
Tyr,0.033,0.03,0.036116265,0.037704918,0.034
Val,0.068,0.0817,0.068398268,0.068852459,0.066
